Ligne;Ligne Q qualif;Ligne approfondissement Accident;ACCIDENT;NBACC1;ACCFREQUENCE1;ANNEEACC1_1;ANNEEACC1_2;ANNEEACC1_3;ANNEEACC1_4;ANNEEACC1_5;NBACC2;ACCFREQUENCE2;ANNEEACC2_1;ANNEEACC2_2;ANNEEACC2_3;ANNEEACC2_4;ANNEEACC2_5;NBACC3;ACCFREQUENCE3;ANNEEACC3_1;ANNEEACC3_2;ANNEEACC3_3;ANNEEACC3_4;ANNEEACC3_5;NBACC4;ACCFREQUENCE4;ANNEEACC4_1;ANNEEACC4_2;ANNEEACC4_3;ANNEEACC4_4;ANNEEACC4_5;NBACC5;ACCFREQUENCE5;ANNEEACC5_1;ANNEEACC5_2;ANNEEACC5_3;ANNEEACC5_4;ANNEEACC5_5;NBACC6;ACCFREQUENCE6;ANNEEACC6_1;ANNEEACC6_2;ANNEEACC6_3;ANNEEACC6_4;ANNEEACC6_5;NBACC7;ACCFREQUENCE7;ANNEEACC7_1;ANNEEACC7_2;ANNEEACC7_3;ANNEEACC7_4;ANNEEACC7_5;NBACC8;ACCFREQUENCE8;ANNEEACC8_1;ANNEEACC8_2;ANNEEACC8_3;ANNEEACC8_4;ANNEEACC8_5;NBACC9;ACCFREQUENCE9;ANNEEACC9_1;ANNEEACC9_2;ANNEEACC9_3;ANNEEACC9_4;ANNEEACC9_5;NBACC10;ACCFREQUENCE10;ANNEEACC10_1;ANNEEACC10_2;ANNEEACC10_3;ANNEEACC10_4;ANNEEACC10_5;NBACC11;ACCFREQUENCE11;ANNEEACC11_1;ANNEEACC11_2;ANNEEACC11_3;ANNEEACC11_4;ANNEEACC11_5;NBACC12;ACCFREQUENCE12;ANNEEACC12_1;ANNEEACC12_2;ANNEEACC12_3;ANNEEACC12_4;ANNEEACC12_5;NBACC13;ACCFREQUENCE13;ANNEEACC13_1;ANNEEACC13_2;ANNEEACC13_3;ANNEEACC13_4;ANNEEACC13_5;NBACC14;ACCFREQUENCE14;ANNEEACC14_1;ANNEEACC14_2;ANNEEACC14_3;ANNEEACC14_4;ANNEEACC14_5;AUTRESACC;NBAUTRESACC;ANNEEAUTREACC1;ANNEEAUTREACC2;ANNEEAUTREACC3;ANNEEAUTREACC4;ANNEEAUTREACC5;LIEUAUTREACC1;LIEUAUTREACC2;LIEUAUTREACC3;LIEUAUTREACC4;LIEUAUTREACC5;DESCRIPTIONAUTRESACC1;DESCRIPTIONAUTRESACC2;DESCRIPTIONAUTRESACC3;DESCRIPTIONAUTRESACC4;DESCRIPTIONAUTRESACC5;NBAUTRESACCCIRCUIT;NBAUTRESTOUTTERRAIN;EXPCYCLO;EXP125;EXPSUP125;ACCORDNEXTQ;CHOIXACC;RGPMTACC;RECUPANNEE;RECUPLIEU;RECUPANNE;RGPMTAC;CHOIX1;CHOIX2;CHOIX3;CHOIX4;CHOIX5;CHOIX6;CHOIX7;DESCRIPTION;RUPTURE;FAITS;ABS_REACTION;AUTRE_REACTION;PRECISIONREACTIONOUI;RECUL;PRECISIONREACTIONNON;IMPACTCOMPORTEMENT;AUTREUSAGER;REACTIONAUTREUSAGER;CONNAISSANCEREACTIONUSAGER;DIFFICULTES;AGGRAVATION;DIFFICULTES2;EMOTIONS1;EMOTIONS2;EMOTIONS3;EMOTIONS4;EMOTIONS5;EMOTIONS6;AUTRESENTIMENT;CLASSEMENTEMOTIONS1;CLASSEMENTEMOTIONS;CLASSEMENTEMOTIONS5;CLASSEMENTEMOTIONS6;CLASSEMENTEMOTIONS7;CLASSEMENTEMOTIONS8;CLASSEMENTEMOTIONS9;EXPLICATIONRESSENTI;BIENEQUIPE;ALLURE;ALLUREVITEDETAIL;ALLURELENTEDETAIL;SITUATIONPRESSE;SITUATIONDISTRAIT;SITUATIONCONFIANT;SITUATIONCONTROLE;SITUATIONLUDIQUE;SITUATIONPERF;SITUATIONSTRESS;SITUATIONFATIGUE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;CONTRIBUTION1;CONTRIBUTION2;CONTRIBUTION3;CONTRIBUTION4;CONTRIBUTION5;CONTRIBUTION6;CONTRIBUTION7;CONTRIBUTION8;CONTRIBUTION9;ROLEINFRA;ELEMENTINFRA1;ELEMENTINFRA2;ELEMENTINFRA3;ELEMENTINFRA4;ELEMENTINFRA5;ELEMENTINFRA6;ELEMENTINFRA7;ELEMENTINFRA8;ELEMENTINFRA9;ALCOOL;TXALCOOL;STUP;SEMAINE;MOMENTJOURNEE;TEMPS;CAUSEACC1;CAUSEACC2;CAUSEACC3;CAUSEACC4;CAUSEACC5;FORMATIONCAUSE;FORMATION1;FORMATION2;FORMATION3;FORMATION4;FORMATION5;TRAFIC;CHAUSSEE1;CHAUSSEE2;CHAUSSEE3;CHAUSSEE4;TYPEACC;BLESSURE;TETE;COU;THORAX;MEMBRESSUP;COLONNE;BASSIN;MEMBRESINF;HOPITAL;PLUS24H;TRAJET;TYPEROUTE;MOTIF;SENSTRAJET;PASSAGER;VITESSE;DESCEQ1;DESCEQ2;DESCEQ3;DESCEQ4;DESCEQ5;DESCEQ6;DESCEQ7;DESCEQ8;DESCEQ9;DESCEQ10;VEHICULEETE;VEHICULEAUTOMNE;VEHICULEPRINTEMPS;VEHICULEHIVER;VEHICULESEMAINE;VEHICULEWE;VEHMARQUE;VEHCYLINDREE;VEHMODELE;VEHSEGMENT;VEHSIDE;EQ2RMABS;EQ2RMCBS;EQ2RMABSCBS;EQ2RMREGULATEUR;EQ2RMLIMITEUR;EQ2RMPHARESDIRECT;EQ2RMCOUPURE;EQ2RMANTIPATINAGE;EQ2RMANTIXHEELING;EQ2RMSTABILILTE;VEHKM;POINTS;DUREE;AUTRE2RM;VEHPRECMARQUE;VEHPRECCYLINDREE;VEHPRECMODELE;VEHPRECSEGMENT;VEHPRECSIDE;TEMPS2RMPREC;FREQVEHPREC;DATE_NAISS;CSP;SOCIETAIRE;SALARIE;SECTEUR2RM;NBPERSFOYER;SITFAM;NBENF;TRNBENF1;TRNBENF2;TRNBENF3;TRNBENF4;NBAUTOFOYER;NBCYCLOFOYER;NBSCOOTFOYER;NBMOTOFOYER;NBTRIKEFOYER;NB2RMCONDUIT;MARQUE1;CYLINDREE1;MODELE1;SEGMENT1;SIDE1;ANMISECIRCU1;ASS1;FREQ1;USAGE1;NBKM1;GARAGE1;MARQUE2;CYLINDREE2;MODELE2;SEGMENT2;SIDE2;ANMISECIRCU2;ASS2;FREQ2;USAGE2;NBKM2;GARAGE2;MARQUE3;CYLINDREE3;MODELE3;SEGMENT3;SIDE3;ANMISECIRCU3;ASS3;FREQ3;USAGE3;NBKM3;GARAGE3;MARQUE4;CYLINDREE4;MODELE4;SEGMENT4;SIDE4;ANMISECIRCU4;ASS4;FREQ4;USAGE4;NBKM4;GARAGE4;MARQUE5;CYLINDREE5;MODELE5;SEGMENT5;SIDE5;ANMISECIRCU5;ASS5;FREQ5;USAGE5;NBKM5;GARAGE5;NBKMTOT;PERMIS1;PERMIS2;PERMIS3;PERMIS4;PERMIS5;PERMIS6;PERMIS7;PERMIS8;PERMIS9;ANPERMIS1;ANPERMIS6;ANPERMIS7;ANPERMIS2;ANPERMIS3;ANPERMIS8;ANPERMIS9;ANPERMIS4;ANPERMIS5
419;15;;1;0;3;;;;;;0;3;;;;;;0;4;;;;;;0;3;;;;;;0;3;;;;;;0;2;;;;;;0;2;;;;;;0;6;;;;;;1;2;1992;;;;;0;3;;;;;;1;5;1995;;;;;0;2;;;;;;0;5;;;;;;1;4;1998;;;;;1;1;2010;;;;;Paris;;;;;Glissade de la roue avant sur pavé mouillé dans un rond point entre 2 véhicules, ai percuté l aile arrière droite du véhicule devant poussé par le véhicule de derrière;;;;;0;0;4;0;26;1;51;11;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16SEP1965;6;1;;2;2;3;;NSP;;;;0;0;0;2;0;2;YAMAHA;1300;FJR;Routière / GT;;2006;37;1;2;21000;;BMW;1100;R1100RT;Routière / GT;;2001;37;1;2;22000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43000;3;;;;;;;;;NRP;;;NRP;1992;;;NRP;NRP
2115;18;;1;0;6;;;;;;0;5;;;;;;0;5;;;;;;0;6;;;;;;0;2;;;;;;1;6;2012;;;;;0;5;;;;;;0;2;;;;;;0;2;;;;;;0;5;;;;;;0;5;;;;;;0;6;;;;;;0;1;;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;0;0;12;1;26;6;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09NOV1966;5;1;;2;6;4;4;1;2;3;4;3;0;0;1;0;1;BMW;1200;R1200S;Routière / GT;;2006;37;1;2;15000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15000;3;4;;;;;;;;NRP;;;NRP;2003;;;1986;NRP
1815;34;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15APR1947;9;2;;2;2;3;;NSP;;;;2;1;1;0;0;1;YAMAHA;125;MAJESTY;Scooter;;2006;31;2;1;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;4;;;;;;;;;NRP;;;NRP;NRP;;;1966;NRP
656;36;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03FEB1959;5;2;;2;3;4;1;3;;;;3;2;0;1;0;1;YAMAHA;1900;MIDNIGHT STAR (XV);Custom;;2006;40;3;1;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;3;4;;;;;;;;NRP;;;NRP;1982;;;1978;NRP
1916;68;;1;1;5;1991;;;;;1;5;1989;;;;;0;6;;;;;;0;4;;;;;;0;5;;;;;;0;2;;;;;;0;3;;;;;;0;4;;;;;;2;4;NSP;NSP;;;;0;5;;;;;;0;6;;;;;;0;2;;;;;;0;2;;;;;;0;5;;;;;;0;;;;;;;;;;;;;;;;;;;4;3;28;1;1;1;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11AUG1964;4;1;;2;4;4;2;1;;;;2;0;0;5;0;5;HONDA;1000;CBX;Roadster;;1980;37;3;1;2000;;HONDA;1000;CBX;Roadster;;1981;37;2;1;4000;;HONDA;1000;CBX;Roadster;;1982;37;3;1;1000;;YAMAHA;1300;FJR;Routière / GT;;2002;37;1;2;30000;;BMW;500;R50;Roadster;;1963;37;4;1;1000;;38000;3;4;;;;;;;;NRP;;;NRP;1982;;;1982;NRP
1353;72;;1;0;4;;;;;;0;5;;;;;;0;6;;;;;;0;5;;;;;;0;4;;;;;;0;5;;;;;;1;3;2012;;;;;0;4;;;;;;1;5;NSP;;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;2;;;;;;0;3;;;;;;1;3;NSP;NSP;NSP;;;Rennes;Rennes;Rennes;;;Glissade rond point sans percuter;Glissade virage sans percuter;Chute à l'arrêt;;;0;0;0;0;5;1;31;7;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11JUL1987;5;2;;2;2;3;;NSP;;;;1;0;0;1;0;1;SUZUKI;650;SV-N;Roadster;;1999;31;1;2;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12000;3;4;;;;;;;;NRP;;;NRP;2010;;;2005;NRP
607;83;;1;0;4;;;;;;0;4;;;;;;0;5;;;;;;0;4;;;;;;0;4;;;;;;0;3;;;;;;0;2;;;;;;0;3;;;;;;0;2;;;;;;0;5;;;;;;0;5;;;;;;0;2;;;;;;0;3;;;;;;0;5;;;;;;1;2;2005;2005;;;;Rennes;Rennes;;;;J'ai calé à un stop, la personne derrière moi n'a pas regardé devant elle et pensait que j'avais démarré, elle m'est rentrée dedans.;Par temps de pluie, je roulais dans la file de gauche, la file de droite était à l'arrêt, un scooter à traversé au passage clouté entre les voitures pour emprunter ma voie. Il m'est rentré dedans par la droite.;;;;0;0;10;0;10;1;72;15;2005;Rennes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12AUG1975;5;1;;2;2;3;;NSP;;;;1;1;0;1;0;1;HARLEY-DAVIDSON;883;SPORTSTER IRON;Roadster;;2010;37;1;2;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;4;3;;;;;;;;NRP;;;NRP;2005;;;1995;NRP
1386;110;;1;0;4;;;;;;0;6;;;;;;1;5;2003;;;;;0;1;;;;;;0;5;;;;;;0;3;;;;;;0;3;;;;;;0;5;;;;;;1;6;1989;;;;;0;3;;;;;;0;6;;;;;;0;1;;;;;;0;3;;;;;;0;1;;;;;;1;3;1989;1989;2003;;;Strasbourg;Strasbourg;Strasbourg;;;Glissade sur gravillons en virage;Route coupée par un véhicule stationné en contre sens et qui quittait son stationnement;Route coupée par un véhicule qui a subitement changé de file sans en avertir (remontée interfille à vitesse du pas);;;0;0;4;0;37;1;41;9;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16MAY1966;2;2;;1;4;4;2;4;;;;4;0;0;6;0;10;BMW;1200;R1200R;Roadster;;2008;26;1;3;38000;;YAMAHA;600;XJ6;Roadster;;2010;40;1;3;20000;;YAMAHA;600;XJ6;Roadster;;2011;40;1;3;20000;;YAMAHA;125;YB-R;Roadster;;2011;40;2;3;10000;;YAMAHA;600;XJ6 DIVERSION;Roadster;;1980;41;4;1;100;;88100;3;4;;;;;;;;NRP;;;NRP;1988;;;1984;NRP
1924;118;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02MAY1955;5;2;;2;3;4;1;4;;;;3;0;0;2;0;2;SUZUKI;750;GSX INAZUMA;Roadster;;2001;16;3;2;2000;;HARLEY-DAVIDSON;1584;DYNA LOW RIDER;Custom;;2008;8;1;1;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7000;3;4;;;;;;;;NRP;;;NRP;1981;;;1981;NRP
1119;140;;1;0;4;;;;;;0;4;;;;;;0;4;;;;;;0;2;;;;;;0;5;;;;;;0;3;;;;;;0;5;;;;;;0;3;;;;;;0;5;;;;;;0;2;;;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;5;;;;;;1;1;2013;;;;;montpellier;;;;;Je cedais le passage avant de tourner a gauche. La voiture derriere moi a cru que j allais passer. La voiture m a percute a l arriere a faible vitesse. Garde boue plie mais de chute.;;;;;0;0;0;0;4;1;71;15;2013;montpellier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04OCT1976;5;2;;2;3;4;1;1;;;;1;0;0;1;0;1;SUZUKI;500;GS-F CARENEE;Roadster;;2007;18;2;2;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;3;4;;;;;;;;NRP;;;NRP;2010;;;1995;NRP
